humidity, temperature, pressure
38.319679260253906, 25.80245590209961, 993.88134765625
37.953956604003906, 26.136974334716797, 993.924560546875
37.85477828979492, 26.38181381225586, 993.87109375
37.35888671875, 28.421320343017577, 993.90185546875
37.63782501220703, 28.255838775634764, 993.847900390625
37.59133529663086, 27.759394073486327, 993.856689453125
38.34447479248047, 28.20423355102539, 993.738525390625
38.530433654785156, 27.20778884887695, 993.941162109375
39.07901382446289, 27.209566497802733, 993.85986328125
39.18128967285156, 27.10101737976074, 993.808837890625
39.423038482666016, 27.211341285705565, 993.9013671875
38.35997009277344, 26.549073028564454, 993.807373046875
38.273189544677734, 27.183419036865235, 993.725830078125
37.56654357910156, 27.845517730712892, 993.747802734375
39.001529693603516, 27.625048065185545, 993.833984375
40.709259033203125, 26.797634506225585, 993.792236328125
40.21026611328125, 26.821831893920898, 993.683837890625
40.39002990722656, 26.628770065307616, 993.7880859375
40.585289001464844, 26.656350326538085, 993.70947265625
40.80223846435547, 26.463288497924804, 993.64208984375
40.870426177978516, 26.080547714233397, 993.747314453125
40.77434539794922, 26.79602928161621, 993.7509765625
40.79914093017578, 26.465066146850585, 993.60400390625
40.74335479736328, 26.409905624389648, 993.684326171875
40.57289123535156, 26.242646408081054, 993.59765625
40.885921478271484, 25.88410015106201, 993.77099609375
41.18655776977539, 26.106519889831542, 993.68603515625
40.935508728027344, 26.38232536315918, 993.6015625
41.82191848754883, 26.106519889831542, 993.426025390625
41.34462356567383, 26.351359367370605, 993.388916015625
41.270240783691406, 25.94103832244873, 993.476806640625
40.947906494140625, 26.078939628601074, 993.329833984375
41.02849197387695, 26.078939628601074, 993.388427734375
41.33842468261719, 25.554911804199218, 993.31005859375
41.36631774902344, 25.94103832244873, 993.249755859375
41.25164031982422, 25.637652587890624, 993.33154296875
41.33842468261719, 25.610072326660156, 993.3603515625
41.074981689453125, 25.554911804199218, 993.3896484375
41.85291290283203, 25.7479736328125, 993.511962890625
41.15556335449219, 25.52733154296875, 993.414794921875
41.36631774902344, 25.72039337158203, 993.470458984375
40.920013427734375, 25.692813110351562, 993.681640625
40.97890090942383, 26.185877799987793, 993.620361328125
41.270240783691406, 25.79975128173828, 993.71826171875
40.687564849853516, 25.554911804199218, 993.712646484375
41.22684860229492, 25.582492065429687, 993.85205078125
41.45000076293945, 25.52733154296875, 993.81494140625
41.07807922363281, 25.606689453125, 993.95458984375
40.34354019165039, 26.0479736328125, 994.115966796875
39.872440338134766, 26.24103832244873, 994.152587890625
39.49742126464844, 26.16168041229248, 994.245361328125
39.621395111083984, 26.437485885620116, 994.324951171875
39.83525085449219, 26.35474510192871, 994.436279296875
39.11620330810547, 26.740868759155273, 994.6083984375
39.274269104003906, 26.57538719177246, 994.756103515625
39.162696838378906, 26.57538719177246, 994.720458984375
38.98603439331055, 26.520226669311523, 994.982421875
39.122406005859375, 26.492646408081054, 995.128662109375
39.627593994140625, 26.409905624389648, 995.2265625
40.10179138183594, 26.299581718444824, 995.2275390625
